dot_model,dot_variant_kry,band,frequency_type,frequency_min_mhz,frequency_max_mhz,technology,duplex_mode,tx_branch_count,default_tx_power_dbm_per_branch,antenna_gain_dbi,power_note
DOT 4455,KRY 901 523/1,B25,PCS,1930,1995,LTE/NR,FDD,2,23,4.2,Standard default
DOT 4455,KRY 901 523/1,B66,AWS,2110,2200,LTE/NR,FDD,2,23,4.3,Standard default
DOT 4455,KRY 901 523/1,B77D,C-band,3700,3980,NR,TDD,4,24,4.3,Use 24 dBm for a single carrier
DOT 4455,KRY 901 551/1,B41,2.5 GHz,2496,2690,LTE/NR,TDD,2,24,5.65,Use 24 dBm for a single carrier
DOT 4455,KRY 901 551/1,B77G,3.45 GHz,3450,3550,NR,TDD,2,24,5.19,Use 24 dBm for a single carrier
DOT 4455,KRY 901 551/1,B77D,C-band,3700,3980,NR,TDD,4,24,5.39,Use 24 dBm for a single carrier
DOT 4459,KRY 901 502/1,B41K,2.5 GHz,2515,2675,LTE/NR,TDD,4,26,5.5,Standard default
DOT 4459,KRY 901 516/1,B48,CBRS,3550,3700,LTE/NR,TDD,4,26,5.3,Actual power may be limited by SAS authorization
DOT 4459,KRY 901 515/1,B77D,C-band,3700,3980,NR,TDD,4,26,5.4,Standard default
DOT 2274,KRY 901 468/1,B25,PCS,1930,1995,LTE/NR/WCDMA,FDD,2,23,1.3,Standard default
DOT 2274,KRY 901 468/1,B66,AWS,2110,2200,LTE/NR/WCDMA,FDD,2,23,1.1,Standard default
